Alter;Geschlecht;Größe;Gewicht;Alkohol;Fastfood;Gemüse;Hauptmahlzeiten;Kalorienzählen;Rauchen;Wasser;Familie;Aktivität;Bildschirmzeit;Zwischenmahlzeit;Transportmittel;Gewichtsklasse
19;w;1,57;39,9;manchmal;ja;1,21;1,72;nein;nein;1,18;nein;0,6847;2;manchmal;ÖPV;Untergewicht
20;w;1,53;39,4;manchmal;ja;1,52;3;nein;nein;1,98;nein;2,3068;0,7205;manchmal;ÖPV;Untergewicht
20;w;1,53;40,3;manchmal;ja;2,7;2,88;nein;nein;1,44;nein;0,1446;0,3223;manchmal;ÖPV;Untergewicht
20;m;1,77;56,3;nie;ja;2,36;4;nein;nein;2,36;ja;2;0,9398;manchmal;PKW;Untergewicht
18;m;1,88;60;nie;ja;3;3,63;nein;nein;2;ja;2,0115;0,4565;manchmal;PKW;Untergewicht
18;m;1,82;58,6;nie;ja;2,14;4;nein;nein;2,93;ja;2;1,1645;manchmal;PKW;Untergewicht
18;m;1,84;60;nie;ja;3;4;nein;nein;2;ja;2;0;manchmal;PKW;Untergewicht
17;m;1,82;58,3;nie;ja;2,56;4;nein;nein;2;ja;2;0,3315;manchmal;PKW;Untergewicht
17;m;1,8;59,6;nie;ja;2,34;4;nein;nein;2;ja;2;0,133;manchmal;PKW;Untergewicht
18;m;1,71;50,9;manchmal;ja;2;3;nein;nein;2;ja;0;1,5937;manchmal;ÖPV;Untergewicht
18;m;1,71;51,1;manchmal;ja;2;3;nein;nein;2;ja;0;1,3292;manchmal;ÖPV;Untergewicht
18;m;1,72;51,1;manchmal;ja;1,81;3;nein;nein;1,27;ja;0,5204;1,6736;manchmal;ÖPV;Untergewicht
19;w;1,56;44,2;manchmal;nein;2,72;3;ja;nein;1;nein;1,0703;0;häufig;ÖPV;Untergewicht
19;w;1,6;45;manchmal;nein;3;3;ja;nein;1,28;nein;1,602;0;häufig;ÖPV;Untergewicht
20;w;1,6;45;manchmal;nein;3;3;ja;nein;2,88;nein;1,2585;0;häufig;ÖPV;Untergewicht
19;w;1,54;42;manchmal;ja;3;1;nein;nein;1,39;nein;0;0,4662;häufig;ÖPV;Untergewicht
19;w;1,54;42;manchmal;ja;2,72;1,47;nein;nein;1,16;nein;1,2357;0,9309;häufig;ÖPV;Untergewicht
19;w;1,52;42;manchmal;ja;3;1;nein;nein;1,85;nein;0;0,7446;häufig;ÖPV;Untergewicht
18;m;1,72;51,7;manchmal;ja;1,13;3;nein;nein;1,33;ja;0,228;1,7083;manchmal;ÖPV;Untergewicht
18;m;1,75;54,1;manchmal;ja;2;3,17;nein;nein;2,28;ja;1,8389;2;manchmal;ÖPV;Untergewicht
18;m;1,7;50,2;manchmal;ja;1,76;3;nein;nein;1,15;ja;0,834;1,616;manchmal;ÖPV;Untergewicht
20;m;1,75;55;nie;ja;2;3,49;nein;nein;2,98;ja;1,9491;2;manchmal;ÖPV;Untergewicht
22;w;1,67;50;nie;ja;2,98;3;nein;nein;2,98;ja;0,9451;1,2418;häufig;ÖPV;Untergewicht
22;w;1,59;44,1;nie;nein;3;2,99;nein;nein;2,7;nein;1,9672;0;häufig;ÖPV;Untergewicht
23;w;1,58;44,4;nie;nein;2,2;2,13;nein;nein;2,12;nein;0,9957;0;häufig;ÖPV;Untergewicht
19;w;1,6;45;manchmal;nein;3;3;ja;nein;2,95;nein;1,2957;0;häufig;ÖPV;Untergewicht
21;w;1,55;41,6;manchmal;ja;2,93;1;nein;nein;1;nein;0;0,2766;häufig;ÖPV;Untergewicht
20;w;1,53;42;manchmal;ja;2,89;1;nein;nein;1;nein;0;0,1962;häufig;ÖPV;Untergewicht
21;w;1,73;49,8;nie;nein;2,89;3,91;nein;nein;1,11;ja;1,549;0,5555;häufig;ÖPV;Untergewicht
20;m;1,87;63,2;manchmal;ja;3;3,7;nein;nein;2,83;ja;1,6996;0,071;manchmal;PKW;Untergewicht
21;w;1,69;51,3;nie;ja;3;3,18;nein;nein;1,91;ja;0,4806;0,6251;häufig;ÖPV;Untergewicht
18;w;1,59;40,2;manchmal;ja;2;1,08;nein;nein;1;nein;0,1274;1,6794;manchmal;ÖPV;Untergewicht
20;w;1,65;49;manchmal;nein;2,53;3;nein;nein;1,97;nein;2;1;manchmal;ÖPV;Untergewicht
23;w;1,74;53,7;nie;ja;2,24;3;nein;nein;1,85;ja;2,4602;0,8145;häufig;ÖPV;Untergewicht
18;w;1,7;50;manchmal;ja;1;3,24;nein;nein;1,01;nein;0,7837;1;häufig;ÖPV;Untergewicht
35;w;1,69;50;nie;ja;2,65;3,8;nein;nein;1,6;ja;0,1747;0,097;häufig;ÖPV;Untergewicht
16;m;1,69;50;manchmal;ja;2;1,63;nein;nein;2,98;nein;0,549;0,3691;manchmal;ÖPV;Untergewicht
18;m;1,79;51,6;manchmal;ja;2,9;3;nein;nein;1,84;nein;1,1625;1;manchmal;ÖPV;Untergewicht
17;m;1,81;58,8;nie;ja;2,48;3,76;nein;nein;2;ja;2;0,9301;manchmal;PKW;Untergewicht
17;w;1,83;43,5;manchmal;ja;2,95;3;nein;nein;2,95;nein;2,8309;1,4667;manchmal;ÖPV;Untergewicht
17;m;1,78;56;nie;ja;2;4;nein;nein;2,29;ja;2;1,1628;manchmal;PKW;Untergewicht
23;w;1,75;56;nie;ja;2,48;3,37;nein;nein;2;ja;2;0,3274;häufig;ÖPV;Untergewicht
18;w;1,79;50;manchmal;ja;2,78;4;nein;nein;1;nein;2;1;manchmal;ÖPV;Untergewicht
19;w;1,71;50;manchmal;ja;1,01;4;nein;nein;1;nein;1,684;0,705;häufig;ÖPV;Untergewicht
19;w;1,54;42;manchmal;nein;2,94;2,71;ja;nein;1,33;nein;1,8774;0,371;häufig;ÖPV;Untergewicht
17;m;1,9;59,9;nie;ja;2,84;3,34;nein;nein;2;ja;2,5112;0,5604;manchmal;PKW;Untergewicht
23;w;1,71;50,1;nie;ja;2;3;nein;nein;2,69;ja;0,3732;2;häufig;ÖPV;Untergewicht
18;w;1,7;50,6;manchmal;ja;2;3;nein;nein;2;nein;0;1,5256;manchmal;ÖPV;Untergewicht
19;w;1,56;39,7;manchmal;ja;1,89;2,22;nein;nein;2,01;nein;2,0753;1,6833;manchmal;ÖPV;Untergewicht
18;m;1,85;60;nie;ja;3;4;nein;nein;2;ja;2;0;manchmal;PKW;Untergewicht
17;m;1,83;60;nie;ja;2,94;4;nein;nein;2;ja;2;0,1289;manchmal;PKW;Untergewicht
18;m;1,72;52,5;manchmal;ja;2,34;3;nein;nein;2;ja;0,0274;1,8841;manchmal;ÖPV;Untergewicht
20;w;1,61;44,7;manchmal;nein;3;2,89;ja;nein;1;nein;0,7697;0;häufig;ÖPV;Untergewicht
19;w;1,53;42;manchmal;ja;3;1;nein;nein;1,95;nein;0;0,9079;häufig;ÖPV;Untergewicht
18;m;1,72;52,1;manchmal;ja;1,95;3;nein;nein;1,75;ja;0,2011;1,7433;manchmal;ÖPV;Untergewicht
20;m;1,76;55;nie;ja;2,28;3,5;nein;nein;2,89;ja;1,6963;1,8949;manchmal;ÖPV;Untergewicht
18;m;1,77;55,7;nie;ja;2;4;nein;nein;2,37;ja;2;1,6125;manchmal;PKW;Untergewicht
21;w;1,77;56,3;nie;ja;2,37;4;nein;nein;2,26;ja;2;0,844;häufig;ÖPV;Untergewicht
22;w;1,7;51,4;nie;ja;2,98;3;nein;nein;2,04;ja;2,0083;1,2509;häufig;ÖPV;Untergewicht
21;w;1,67;49,8;nie;ja;2,98;3,19;nein;nein;2,48;ja;2;1;häufig;ÖPV;Untergewicht
23;w;1,72;51,9;nie;ja;2,66;3;nein;nein;1,04;ja;0,7944;1,3919;häufig;ÖPV;Untergewicht
22;w;1,59;44,2;nie;nein;3;1,7;nein;nein;2,55;nein;1,0989;0;häufig;ÖPV;Untergewicht
23;w;1,6;43;nie;nein;2,75;2,81;nein;nein;2,35;nein;1,6122;0;häufig;ÖPV;Untergewicht
22;w;1,59;44;nie;nein;3;1,61;nein;nein;2,57;nein;1,1905;0;häufig;ÖPV;Untergewicht
21;w;1,56;42,4;nie;nein;2,32;1,08;nein;nein;1,22;nein;0,0333;0;häufig;ÖPV;Untergewicht
23;w;1,6;44,6;nie;nein;2,59;1,88;nein;nein;1,92;nein;0,4171;0;häufig;ÖPV;Untergewicht
22;w;1,6;44,9;nie;nein;2,89;2,33;nein;nein;2,31;nein;1,4224;0;häufig;ÖPV;Untergewicht
19;w;1,63;45;manchmal;ja;3;3;ja;nein;2,92;nein;1,3526;0,2201;manchmal;ÖPV;Untergewicht
19;w;1,56;42,1;nie;ja;3;1,99;nein;nein;2,24;nein;0,206;0,2845;manchmal;ÖPV;Untergewicht
19;w;1,55;42,1;nie;ja;3;1,74;nein;nein;2,32;nein;1,1935;0,7457;manchmal;ÖPV;Untergewicht
20;w;1,57;41,7;manchmal;ja;2,97;1;nein;nein;1,13;nein;0;0,5042;häufig;ÖPV;Untergewicht
21;w;1,52;42;manchmal;ja;3;1;nein;nein;1;nein;0;0;häufig;ÖPV;Untergewicht
20;w;1,6;44,8;manchmal;nein;3;2,97;ja;nein;1,15;nein;0,8797;0;häufig;ÖPV;Untergewicht
20;w;1,56;42;manchmal;ja;2,62;1;nein;nein;1,2;nein;0;0,7512;häufig;ÖPV;Untergewicht
21;w;1,52;42;manchmal;ja;3;1;nein;nein;1,19;nein;0;0,0767;häufig;ÖPV;Untergewicht
21;w;1,52;42;manchmal;ja;3;1;nein;nein;1;nein;0;0;häufig;ÖPV;Untergewicht
22;w;1,69;51,1;nie;ja;3;3,72;nein;nein;1,77;ja;0,103;0,6464;häufig;ÖPV;Untergewicht
21;w;1,74;50,5;nie;ja;3;3,49;nein;nein;1,33;ja;0,7919;0,1284;häufig;ÖPV;Untergewicht
19;w;1,73;50;manchmal;ja;1,05;3,38;nein;nein;1;nein;1,8534;0,8618;manchmal;ÖPV;Untergewicht
22;m;1,87;61,4;manchmal;ja;3;3,26;nein;nein;2,23;ja;1,5577;0,0004;manchmal;PKW;Untergewicht
19;m;1,85;61,3;manchmal;ja;3;3,99;nein;nein;2,55;ja;1,286;0,2671;manchmal;PKW;Untergewicht
21;m;1,79;58,6;nie;ja;2,53;3,25;nein;nein;2,39;ja;1,9763;1,6725;manchmal;PKW;Untergewicht
18;m;1,79;52;manchmal;ja;3;3;nein;nein;2;ja;0,8543;1;manchmal;ÖPV;Untergewicht
22;w;1,71;51,7;nie;ja;2,88;3,09;nein;nein;1,25;ja;1,9524;0,4275;häufig;ÖPV;Untergewicht
18;m;1,7;51,7;manchmal;ja;2,82;3;nein;nein;2;ja;0,5333;1,0998;manchmal;ÖPV;Untergewicht
19;w;1,53;41,7;manchmal;ja;2,76;1,16;nein;nein;1,3;nein;0,2529;1,0014;manchmal;ÖPV;Untergewicht
19;w;1,57;41,9;manchmal;ja;2,07;1;nein;nein;1,68;nein;0;1,7185;manchmal;ÖPV;Untergewicht
19;w;1,54;41,5;manchmal;ja;2,69;1;nein;nein;1,31;nein;0;1,0647;manchmal;ÖPV;Untergewicht
19;w;1,67;49,8;manchmal;ja;2,79;3,41;nein;nein;1,54;nein;2;1;manchmal;ÖPV;Untergewicht
20;w;1,68;49,1;manchmal;nein;2,72;3;nein;nein;2;nein;1,8622;1;manchmal;ÖPV;Untergewicht
20;w;1,67;49,1;manchmal;nein;2,88;3,28;nein;nein;1,96;nein;1,513;1;manchmal;ÖPV;Untergewicht
22;w;1,7;50,2;nie;ja;2,67;3;nein;nein;2,45;ja;1,3216;1,9906;häufig;ÖPV;Untergewicht
20;m;1,76;54,6;nie;ja;2;3,99;nein;nein;2,65;ja;2,1132;2;manchmal;ÖPV;Untergewicht
23;w;1,7;51,6;nie;ja;2,56;3;nein;nein;1,99;ja;0,486;1,5613;häufig;ÖPV;Untergewicht
19;w;1,69;49,9;manchmal;ja;1,21;3,21;nein;nein;1,03;nein;2;1;manchmal;ÖPV;Untergewicht
18;w;1,71;50;manchmal;ja;1,14;3,47;nein;nein;1;nein;2;1;manchmal;ÖPV;Untergewicht
19;w;1,67;49,7;manchmal;ja;2,56;3,49;nein;nein;1,67;nein;2;1;manchmal;ÖPV;Untergewicht
27;w;1,66;49,6;nie;ja;2;3,44;nein;nein;2,02;ja;1,0787;1,2673;häufig;ÖPV;Untergewicht
25;w;1,63;46,1;nie;ja;2,69;3,04;nein;nein;2,21;ja;1,6169;0;häufig;ÖPV;Untergewicht
23;w;1,66;50,4;nie;ja;3;3,64;nein;nein;2;ja;0,1183;0,0655;häufig;ÖPV;Untergewicht
18;m;1,73;51,2;manchmal;ja;2,05;2,65;nein;nein;2,36;nein;0,2913;0,8979;manchmal;ÖPV;Untergewicht
17;w;1,74;50;manchmal;ja;2,19;3,42;nein;nein;1,36;nein;1,352;0,9847;manchmal;ÖPV;Untergewicht
18;m;1,76;52,1;manchmal;ja;2,21;2,64;nein;nein;2,12;nein;0,9984;0,8588;manchmal;ÖPV;Untergewicht
18;m;1,79;51,5;manchmal;ja;2,92;3;nein;nein;1,78;nein;1,0775;1;manchmal;ÖPV;Untergewicht
18;m;1,77;51,1;manchmal;ja;2,71;3;nein;nein;1,87;ja;1,2172;1;manchmal;ÖPV;Untergewicht
18;m;1,7;52,1;manchmal;ja;2,85;3;nein;nein;2;ja;0,6805;1,2589;manchmal;ÖPV;Untergewicht
17;m;1,83;58,9;nie;ja;2,58;3,89;nein;nein;2;ja;2;0,4536;manchmal;PKW;Untergewicht
20;m;1,79;58,2;nie;ja;2,51;3,44;nein;nein;2,08;ja;2,0267;1,4433;manchmal;PKW;Untergewicht
19;m;1,78;57,3;nie;ja;2;3,75;nein;nein;2,58;ja;2;1,8438;manchmal;PKW;Untergewicht
19;w;1,61;42,7;nie;ja;2,9;2,63;ja;nein;2,84;nein;1,9497;1,2533;manchmal;ÖPV;Untergewicht
17;w;1,78;44,8;manchmal;ja;2,91;3,1;nein;nein;2,2;nein;2,3281;1,5501;manchmal;ÖPV;Untergewicht
17;w;1,71;45,2;manchmal;ja;2,91;3,13;nein;nein;2,2;nein;2,4079;1,403;manchmal;ÖPV;Untergewicht
18;m;1,85;59,9;nie;ja;2,97;3,97;nein;nein;2;ja;2,0001;0,3786;manchmal;PKW;Untergewicht
17;m;1,82;59,6;nie;ja;2,61;3,71;nein;nein;2;ja;2,003;0,1748;manchmal;PKW;Untergewicht
20;m;1,76;55,5;nie;ja;2;4;nein;nein;2,54;ja;2;1,8075;manchmal;PKW;Untergewicht
23;w;1,73;54,8;nie;ja;3;3;nein;nein;2;ja;1,2596;0,4171;häufig;ÖPV;Untergewicht
21;m;1,76;55;nie;ja;2,63;3,83;nein;nein;2,99;ja;2;1,4259;manchmal;ÖPV;Untergewicht
23;w;1,74;54,9;nie;ja;3;3;nein;nein;2,01;ja;2;0,0713;häufig;ÖPV;Untergewicht
19;w;1,73;49,7;manchmal;ja;2,92;3,58;nein;nein;1,95;nein;1,9402;1;manchmal;ÖPV;Untergewicht
17;w;1,75;49,9;manchmal;ja;2,49;3,57;nein;nein;1,49;nein;1,951;0,9562;manchmal;ÖPV;Untergewicht
19;w;1,76;49,7;manchmal;ja;1,69;3,27;nein;nein;1,1;nein;2;1;manchmal;ÖPV;Untergewicht
18;w;1,7;50,1;manchmal;ja;1,6;3,43;nein;nein;1,06;nein;0,8193;1,0308;manchmal;ÖPV;Untergewicht
20;w;1,7;50;manchmal;ja;1,2;3,53;nein;nein;1,13;nein;2;1;manchmal;ÖPV;Untergewicht
18;w;1,72;50;manchmal;ja;1,05;4;nein;nein;1;nein;2;1;häufig;ÖPV;Untergewicht
19;w;1,59;42,5;manchmal;nein;2,91;3;ja;nein;1;nein;1,461;0;häufig;ÖPV;Untergewicht
21;w;1,52;42;manchmal;ja;2,87;1,23;nein;nein;1;nein;0,145;0;häufig;ÖPV;Untergewicht
19;w;1,52;42;manchmal;ja;2,91;1,06;nein;nein;1,6;nein;0,1089;0,7731;häufig;ÖPV;Untergewicht
17;m;1,84;59,3;nie;ja;2,43;3;nein;nein;2;ja;2,6979;1;manchmal;PKW;Untergewicht
17;m;1,85;59,6;nie;ja;2,88;3,6;nein;nein;2;ja;2,0777;0,7147;manchmal;PKW;Untergewicht
18;m;1,85;59,2;nie;ja;2,71;3,74;nein;nein;2,03;ja;2,0094;0,614;manchmal;PKW;Untergewicht
21;w;1,72;50;nie;ja;2,92;3,7;nein;nein;1,15;ja;0,9931;0,0892;häufig;ÖPV;Untergewicht
22;w;1,7;50,2;nie;ja;2,97;3,21;nein;nein;2,77;ja;0,611;1,3007;häufig;ÖPV;Untergewicht
22;w;1,72;51,5;nie;ja;2,49;3;nein;nein;1,06;ja;2,2061;1,9581;häufig;ÖPV;Untergewicht
18;w;1,71;50;manchmal;ja;1,64;3,45;nein;nein;1,1;nein;0,4189;1;manchmal;ÖPV;Untergewicht
18;w;1,76;50,3;manchmal;ja;1,57;3;nein;nein;1,99;nein;0,108;1;manchmal;ÖPV;Untergewicht
18;w;1,7;50;manchmal;ja;1,04;3,21;nein;nein;1,75;nein;0,116;1;manchmal;ÖPV;Untergewicht
19;w;1,57;41,2;manchmal;ja;1,65;1,51;nein;nein;1,55;nein;0,2278;1,9729;manchmal;ÖPV;Untergewicht
20;w;1,54;39,1;manchmal;ja;1,12;3;nein;nein;2;nein;2,4324;1,6262;manchmal;ÖPV;Untergewicht
20;w;1,53;41,3;manchmal;ja;2,67;2,78;nein;nein;1,25;nein;0,0434;0,4037;häufig;ÖPV;Untergewicht
20;m;1,76;55,4;nie;ja;2,12;4;nein;nein;2,58;ja;2;1,5106;manchmal;PKW;Untergewicht
18;m;1,84;60;nie;ja;3;3,73;nein;nein;2;ja;2,0009;0,3847;manchmal;PKW;Untergewicht
18;m;1,86;58,7;nie;ja;2,34;3,94;nein;nein;2,31;ja;2,0134;1,1284;manchmal;PKW;Untergewicht
18;m;1,83;59,9;nie;ja;2,86;4;nein;nein;2;ja;2;0,0079;manchmal;PKW;Untergewicht
17;m;1,82;58,4;nie;ja;2,56;3,05;nein;nein;2;ja;2,0116;0,589;manchmal;PKW;Untergewicht
17;m;1,81;59,2;nie;ja;2,42;4;nein;nein;2;ja;2;0,0392;manchmal;PKW;Untergewicht
18;m;1,71;50,7;manchmal;ja;1,79;3;nein;nein;1,55;ja;0,5121;1,6083;manchmal;ÖPV;Untergewicht
18;m;1,71;51,3;manchmal;ja;1,3;3;nein;nein;1,76;ja;0,0629;1,6725;manchmal;ÖPV;Untergewicht
18;m;1,74;51;manchmal;ja;1,89;3;nein;nein;1,96;ja;0,5204;1,1512;manchmal;ÖPV;Untergewicht
19;w;1,57;44,3;manchmal;nein;2,98;3;ja;nein;1,02;nein;1,3278;0;häufig;ÖPV;Untergewicht
19;w;1,58;44,8;manchmal;nein;3;2,98;ja;nein;1,25;nein;0,9797;0;häufig;ÖPV;Untergewicht
20;w;1,6;45;manchmal;nein;3;3;ja;nein;2,49;nein;1,2304;0;häufig;ÖPV;Untergewicht
20;w;1,54;42;manchmal;ja;3;1;nein;nein;1,5;nein;0;0,5134;häufig;ÖPV;Untergewicht
19;w;1,53;42;manchmal;ja;2,75;1,39;nein;nein;1,32;nein;0,4639;0,801;häufig;ÖPV;Untergewicht
19;w;1,53;42;manchmal;ja;3;1;nein;nein;1,76;nein;0;0,5609;häufig;ÖPV;Untergewicht
18;m;1,72;52,3;manchmal;ja;1,2;3;nein;nein;1,93;ja;0,0236;1,7473;manchmal;ÖPV;Untergewicht
18;m;1,72;53,8;manchmal;ja;2;3,13;nein;nein;2,07;ja;1,488;2;manchmal;ÖPV;Untergewicht
18;m;1,74;50,2;manchmal;ja;1,87;3;nein;nein;1,28;ja;0,6849;1,4872;manchmal;ÖPV;Untergewicht
27;m;1,82;87;nie;ja;2,34;1,58;nein;nein;2;nein;2;0,5541;manchmal;PKW;Übergewicht_I
21;m;1,64;70;manchmal;ja;2;1;nein;nein;2,12;nein;0,7705;0;nie;ÖPV;Übergewicht_I
25;m;1,81;85,6;nie;ja;1,45;3,99;nein;nein;2,15;nein;0,0468;1;manchmal;PKW;Übergewicht_I
22;m;1,7;75,6;manchmal;ja;2,2;3,62;nein;nein;1,82;ja;0,9893;0;manchmal;ÖPV;Übergewicht_I
21;m;1,62;68,9;manchmal;ja;1,21;3;nein;nein;2,41;nein;0,9498;0,4792;nie;ÖPV;Übergewicht_I
19;m;1,86;89;manchmal;ja;2;3;nein;nein;1,02;ja;0;0,3747;manchmal;ÖPV;Übergewicht_I
42;w;1,72;82,9;manchmal;ja;2,82;3,36;nein;nein;2,72;nein;3;0,2658;manchmal;PKW;Übergewicht_I
21;m;1,86;86,4;manchmal;ja;2;3;nein;nein;1,35;ja;1,0979;1;manchmal;ÖPV;Übergewicht_I
22;m;1,7;75;manchmal;ja;2;3;nein;nein;1,83;ja;0,6996;0,1421;manchmal;ÖPV;Übergewicht_I
19;w;1,75;80;häufig;ja;2;1,74;nein;nein;2,21;ja;2,6411;0,707;manchmal;ÖPV;Übergewicht_I
24;m;1,7;75;manchmal;ja;2;3;nein;nein;2;ja;0,3457;1,4155;manchmal;ÖPV;Übergewicht_I
34;w;1,64;74,8;manchmal;nein;3;1,15;nein;nein;1,07;ja;0,6799;0;manchmal;PKW;Übergewicht_I
22;w;1,61;68,1;manchmal;ja;1,76;3,98;nein;nein;2,17;ja;0,9205;1,3582;manchmal;ÖPV;Übergewicht_I
21;m;1,61;68,2;manchmal;ja;2;1,92;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
35;w;1,53;62,9;manchmal;ja;2;2,11;nein;nein;1,46;nein;0;0,9974;manchmal;PKW;Übergewicht_I
37;w;1,55;62,3;manchmal;ja;2,39;3;nein;nein;2,95;ja;0;0,3691;manchmal;PKW;Übergewicht_I
22;w;1,73;78,2;manchmal;ja;2,58;1;nein;nein;2;ja;2,2874;0;manchmal;ÖPV;Übergewicht_I
23;m;1,63;70;manchmal;ja;2;1;nein;nein;2,8;nein;0,2454;0;nie;ÖPV;Übergewicht_I
21;m;1,62;70;manchmal;ja;2;1;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
21;m;1,62;70;manchmal;ja;2;1;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
31;w;1,63;68,8;manchmal;ja;2,05;3;nein;nein;1,97;ja;0,2283;0;manchmal;PKW;Übergewicht_I
21;m;1,75;79,1;manchmal;ja;3;1;nein;nein;2;ja;2,5722;0;manchmal;PKW;Übergewicht_I
20;m;1,82;85,8;manchmal;ja;2,95;3,71;nein;nein;2,43;ja;2,5459;0,4697;manchmal;ÖPV;Übergewicht_I
20;m;1,81;85;manchmal;ja;3;3;nein;nein;2,23;ja;1,608;0,6281;manchmal;ÖPV;Übergewicht_I
21;m;1,71;75;manchmal;ja;2;3;nein;nein;2,84;ja;2,0223;0,0093;manchmal;ÖPV;Übergewicht_I
21;m;1,61;67,7;manchmal;ja;2;3,69;nein;nein;3;ja;1,2281;0,3352;nie;ÖPV;Übergewicht_I
23;w;1,72;76;manchmal;ja;2;3;nein;nein;2;ja;0;2;häufig;ÖPV;Übergewicht_I
20;m;1,83;89,7;manchmal;ja;2,56;3,29;nein;nein;3;ja;2;0,3159;manchmal;ÖPV;Übergewicht_I
22;w;1,6;66,4;manchmal;ja;2,11;3;nein;nein;2,75;ja;1,9104;0;manchmal;ÖPV;Übergewicht_I
21;w;1,75;77,9;manchmal;ja;2,92;1,1;nein;nein;1,53;ja;1,3606;0;manchmal;ÖPV;Übergewicht_I
18;m;1,78;80,3;nie;ja;1,57;3;nein;nein;2;ja;2,7079;0;manchmal;ÖPV;Übergewicht_I
21;m;1,71;75;manchmal;ja;2;3;nein;nein;1,64;ja;1;0;manchmal;ÖPV;Übergewicht_I
29;w;1,67;71,6;manchmal;ja;2;3;nein;nein;1,7;ja;1,6823;0;manchmal;PKW;Übergewicht_I
26;m;1,76;82,2;manchmal;ja;1,94;3,56;nein;nein;2,37;ja;0,2355;0,88;manchmal;ÖPV;Übergewicht_I
23;m;1,71;75;manchmal;ja;2,71;3;nein;nein;3;ja;1,0968;1,8939;manchmal;ÖPV;Übergewicht_I
20;m;1,81;85,1;manchmal;ja;2;3;nein;nein;2,29;ja;1,0678;0,1967;manchmal;ÖPV;Übergewicht_I
24;w;1,6;64,8;manchmal;ja;2,9;3;nein;nein;1,55;nein;0;0,2739;manchmal;ÖPV;Übergewicht_I
33;w;1,72;72,7;manchmal;ja;2;3;nein;nein;1;ja;0;1,3392;manchmal;PKW;Übergewicht_I
23;m;1,71;75,5;manchmal;ja;3;3,65;nein;nein;1,23;ja;0,7935;1,5976;manchmal;ÖPV;Übergewicht_I
17;w;1,55;54,9;manchmal;ja;1,75;1,3;ja;nein;2;nein;0,1102;1,9447;manchmal;ÖPV;Übergewicht_I
16;w;1,6;65;manchmal;ja;2,54;1;ja;nein;2;ja;0,6943;1,0569;manchmal;ÖPV;Übergewicht_I
24;w;1,59;62,3;manchmal;ja;2,4;2,66;nein;nein;2,06;nein;1,913;1,8874;manchmal;ÖPV;Übergewicht_I
35;w;1,67;73,2;manchmal;nein;3;2,81;nein;nein;1,59;ja;0,178;0;manchmal;PKW;Übergewicht_I
23;m;1,86;88,7;manchmal;ja;2;2,78;nein;nein;1,28;ja;0,5571;1;manchmal;PKW;Übergewicht_I
37;w;1,59;63,3;manchmal;ja;2,37;3;nein;nein;2;ja;2,8929;0,4808;manchmal;PKW;Übergewicht_I
19;m;1,62;69,5;manchmal;ja;2,28;1;nein;nein;2,63;nein;1;1,2854;manchmal;ÖPV;Übergewicht_I
16;w;1,62;67,2;nie;ja;1,62;1;ja;nein;2;ja;0,9266;1,6571;manchmal;ÖPV;Übergewicht_I
18;w;1,64;70;nie;ja;2;2;nein;nein;2,33;ja;0,0071;0;manchmal;ÖPV;Übergewicht_I
19;w;1,55;60,6;manchmal;ja;2,82;2,64;ja;nein;1,23;nein;0,7475;0,0089;manchmal;ÖPV;Übergewicht_I
17;w;1,6;65;manchmal;ja;3;2,45;ja;nein;2;ja;0,4796;1,7206;manchmal;ÖPV;Übergewicht_I
30;m;1,82;87,7;nie;ja;3;3;nein;nein;1,17;nein;2;0;manchmal;PKW;Übergewicht_I
32;w;1,66;73,6;manchmal;ja;2;3;nein;nein;1;ja;0;1,1125;manchmal;PKW;Übergewicht_I
18;m;1,75;80;nie;ja;2;2,79;nein;nein;2,38;ja;0,1012;0,1059;manchmal;ÖPV;Übergewicht_I
19;m;1,86;88,1;manchmal;ja;2,06;4;nein;nein;2,43;ja;2;0,1601;manchmal;ÖPV;Übergewicht_I
19;w;1,76;79,5;häufig;ja;2;1,15;nein;nein;3;ja;1,8097;1,6901;manchmal;ÖPV;Übergewicht_I
18;w;1,64;68,4;nie;ja;2;1,13;nein;nein;1,34;ja;0;1,5926;manchmal;ÖPV;Übergewicht_I
18;w;1,74;76,7;häufig;ja;2,84;3;nein;nein;2,43;ja;1;1,4533;manchmal;ÖPV;Übergewicht_I
20;w;1,51;64,3;manchmal;ja;2,57;3;ja;nein;1,82;nein;0;0;manchmal;ÖPV;Übergewicht_I
28;m;1,81;87,3;nie;ja;3;3;nein;nein;1,21;nein;2;0;manchmal;PKW;Übergewicht_I
27;m;1,8;87;nie;ja;2,65;2,49;nein;nein;2;nein;2;0,0966;manchmal;PKW;Übergewicht_I
21;m;1,63;70;manchmal;ja;2;1;nein;nein;2,01;nein;0,6312;0;nie;ÖPV;Übergewicht_I
22;m;1,64;70;manchmal;ja;2;1;nein;nein;2,07;nein;0,7299;0;nie;ÖPV;Übergewicht_I
27;m;1,79;83,3;nie;ja;1,28;4;nein;nein;2,5;nein;0,0034;1;manchmal;PKW;Übergewicht_I
